"Age","Gender","Latitude","Longitude","PSAI_M","PSAI_F","PSAI_Total","Mtoy","Ftoy","BEM_Masc","BEM_Fem"
28,1,39.93890381,-75.18470001,41,22,69.15,3.25,1.33,4.4,4.4
20,1,42.55839539,-89.15989685,41,25,65.85,3.5,1.67,3.85,4.85
23,1,37.21530151,-93.29820251,42,19,73.55,3.75,1,6.2,3.4
23,1,40.20230103,-85.40820313,30,30,48.25,3.25,1.33,4.95,4.9
43,1,37.79089355,-122.4017029,37,35,50.45,3.5,2.33,4.1,4.75
23,1,47.06619263,-122.113205,34,13,71.35,2.5,1,4.35,3.2
33,1,40.76080322,-111.891098,46,22,74.65,3.5,1.33,5.55,5.1
35,1,35.8874054,-78.75099945,53,25,79.05,4.25,1.67,6.35,5.3
32,1,35.9954071,-78.90190125,36,29,55.95,3.25,2,4.16,4.5
31,1,-24.64639282,25.91189575,46,27,69.15,4,2,5.55,4.4
20,1,40.62339783,-74.02880096,47,19,79.05,4.5,1,5.9,4.35
23,1,43.14880371,-88.24510193,60,14,98.85,5,1,6.05,4.9
40,1,29.54760742,-98.42510223,52,16,87.85,4.5,1,5.25,3.45
57,1,41.94740295,-87.7036972,12,12,48.25,1,1,4.65,4.3
33,1,33.77079773,-84.29299927,35,29,54.85,3.25,1.67,4.6,4.7
21,1,34.31770325,-80.57710266,31,40,38.35,3,2.67,4.1,4.37
39,1,40.71429443,-74.0059967,37,21,65.85,2.75,1,3.89,4.45
44,1,51.68330383,-0.399993896,43,20,73.55,2.75,1,5.1,4.15
22,1,29.86880493,-95.53800201,27,20,55.95,2,1.67,4,4.75
40,1,38,-97,47,19,79.05,3.25,1,3.35,2.55
31,1,38,-97,34,13,71.35,1.75,1,3.25,4.5
26,1,39.95230103,-75.1638031,28,20,57.05,2,1.33,5.1,4.4
32,1,38.89509583,-77.03639984,49,16,84.55,4,1,5.8,4.45
46,1,32.71549988,-96.7684021,60,27,84.55,5,1.33,4.85,5.35
27,1,36.06089783,-86.96089935,43,19,74.65,3.5,1,5.05,3.7
25,1,38,-97,24,50,19.65,1,4,5.6,5.8
46,1,27.82229614,-82.27970123,34,32,50.45,2.5,1.67,4.6,5.25
65,1,27.72070313,-82.73760223,48,18,81.25,4,1,5.65,4.25
25,1,30.38400269,-97.70729828,26,25,49.35,1.25,1.33,3.85,3.9
29,1,40.65010071,-73.94960022,42,20,72.45,3.5,1.33,5.1,4.1
36,1,44.90429688,-93.74629974,36,20,65.85,3,1,4.2,4.9
66,1,37.21530151,-93.29820251,47,31,65.85,4.25,2.33,5.44,4.65
55,1,26.18840027,-97.92320251,46,23,73.55,4.25,1.33,5.05,3.55
34,1,34.94610596,-92.08580017,52,20,83.45,4,1.67,5.15,3.35
31,1,32.42500305,-99.79759979,54,17,88.95,4.25,1.33,5.65,4.85
29,1,38.88169861,-92.40200043,25,29,43.85,2.5,2,3.35,4.45
59,1,41.33459473,-85.021698,54,21,84.55,4.25,1,5,4.55
27,1,40.70210266,-73.94229889,59,14,97.75,5,1,6.85,4.85
34,1,42.50509644,-71.20469666,48,19,80.15,4.5,1,5.2,3.8
26,1,42.48530579,-71.44180298,32,26,54.85,3.25,1.67,3.05,4
26,1,34.00079346,-117.1266022,39,20,69.15,4.5,1,6.05,3.7
32,1,40.7447052,-73.08599854,38,27,60.35,3,1,4.45,4.15
50,1,41.58610535,-73.88300323,29,20,58.15,2.75,1,4.65,5.55
54,1,27.43930054,-82.52140045,42,20,72.45,2.75,1,5.4,4.4
49,1,40.73069763,-73.74810028,34,23,60.35,2,1.33,4.6,4.9
29,1,40.23880005,-74.69879913,48,26,72.45,3.75,1.33,5.32,4.45
30,1,27.88459778,-82.82769775,41,15,76.85,3.25,1,4.5,2.55
39,1,38.36329651,-81.80889893,50,17,84.55,4.25,1,2.95,3.5
32,1,41.13519287,-81.3259964,47,17,81.25,3.5,1.33,5.55,4.8
44,1,35.19360352,-79.46130371,44,21,73.55,3,1,5.74,4.15
50,1,39.89370728,-79.74919891,40,19,71.35,2.75,1,3.8,2.5
20,1,39.95970154,-75.19680023,29,14,64.75,2.25,1,5.1,4.8
50,1,34.48890686,-118.6228943,50,14,87.85,4.75,1,4.6,3.05
20,1,39.72940063,-104.8319016,28,18,59.25,2.5,1,3.95,3.8
39,1,33.42230225,-111.8226013,43,20,73.55,3.25,1,4.25,4.05
33,1,32.78309631,-96.80670166,41,22,69.15,4,1.33,4.7,4.35
24,1,45.42070007,-122.6706009,28,16,61.45,2.5,1.67,4.26,3.79
43,1,38,-97,43,25,68.05,3.5,1.33,5.6,5.95
50,1,32.42970276,-96.69059753,47,16,82.35,3.5,1,5.32,3.95
39,1,40.32589722,-75.93930054,42,23,69.15,3.25,1,3.25,3.85
29,1,41.49789429,-75.54759979,40,19,71.35,3,1,4.3,4.1
38,1,31.99710083,-80.96450043,38,29,58.15,3.25,2,3.1,3.8
50,1,25.93760681,-81.6977005,47,18,80.15,4,1,3.95,4.37
55,1,38.96609497,-96.76509857,46,21,75.75,3.25,1,4.75,3.85
43,1,37.33380127,-121.8914948,46,23,73.55,3.75,1.33,3.53,5.45
34,1,9.933303833,-84.08329773,42,18,74.65,3.25,1,5.9,3.6
24,1,27.71670532,85.31671143,40,26,63.65,2.25,1,5.7,4.8
47,1,44.94439697,-93.09329987,32,20,61.45,3,1,4.5,4.05
49,1,33.44839478,-112.0739975,41,21,70.25,3.25,1.67,4.8,4.7
26,1,38.42840576,-81.02519989,42,39,51.55,5,4.33,4,4.05
32,1,35.44779968,-88.91079712,50,15,86.75,3.75,1,5.25,4.55
26,1,39.16690063,-83.56549835,41,18,73.55,3.25,1,5.5,4.5
28,1,43.06869507,-87.97669983,54,22,83.45,4.25,1,5.65,4.75
19,1,41.44850159,-82.01860046,52,15,88.95,4,1,6.26,4
49,1,36.51579285,-95.72409821,51,14,88.95,4.25,1,6.3,5.2
32,1,28.14900208,-80.65280151,41,24,66.95,3.25,1.33,3.35,4.45
58,1,14.1000061,-87.21669769,54,18,87.85,4.5,1.33,5.2,4.25
38,1,9.933303833,-84.08329773,56,27,80.15,4.25,2,5.85,4.65
36,1,17.80000305,-97.76670074,41,16,75.75,3.5,1,4.8,4.6
34,1,10.5,-66.91670227,58,18,92.25,4.75,1,6.2,4.95
34,1,8,-66,56,17,91.15,4.75,1,5.85,4.3
46,1,45.50759888,-122.4306946,46,17,80.15,3.5,1,4.35,2.9
43,1,40.69360352,-89.58899689,45,16,80.15,3.5,1,4.1,3.8
56,1,28.53829956,-81.3792038,39,19,70.25,3,1,3.55,4.8
53,1,44.93739319,-93.22190094,35,27,57.05,2.75,1.33,3.75,5.4
23,1,36.18670654,-94.12879944,35,23,61.45,2.75,1.33,3.63,3.5
53,1,44.97999573,-93.26380157,31,16,64.75,2.5,1.33,3.8,5.3
30,1,30.79849243,-81.72070313,41,17,74.65,3,1,5.35,5.3
27,1,42.32839966,-83.05539703,35,18,66.95,3,1.33,4.7,4.25
53,1,41.86320496,-87.61979675,44,22,72.45,3.75,1.67,5.1,5
41,1,40.53250122,-89.34279633,41,22,69.15,3.5,1,4.6,4.95
25,1,36.14199829,-95.99210358,32,19,62.55,2,1,4.75,5.2
33,1,43.58239746,-84.35780334,47,25,72.45,4,1.67,5.7,4.7
26,1,19.05000305,-98.19999695,27,26,49.35,2.25,2,4,3.58
56,1,9.853302002,-83.90229797,47,19,79.05,3.5,1.33,5.85,3.95
52,1,38.42030334,-80.54180145,45,23,72.45,3.5,1,5.45,4.8
32,1,35.22709656,-80.8431015,50,30,70.25,3.75,2.33,5.25,4.6
45,1,33.9335022,-84.39720154,53,26,77.95,4.25,1.33,4.7,3.55
56,1,33.76939392,-112.2481995,42,20,72.45,2.75,1,5.2,3.6
21,1,43.0480957,-76.1473999,48,17,82.35,4,1,4.8,4.25
28,1,43.19459534,-89.20249939,42,21,71.35,2.5,1.33,5.2,4.9
37,1,40.73860168,-111.8591003,48,33,64.75,4,3,4.85,4.8
22,1,41.60769653,-71.06759644,41,35,54.85,4,2.67,3.95,5.55
68,1,44.13240051,-73.03620148,41,19,72.45,3,1.33,5.05,4.65
32,1,-1.283294678,36.81669617,48,31,66.95,3.5,3.33,6.15,5.3
38,1,38.31190491,-90.15350342,55,18,88.95,3.75,1,6.45,3.6
28,1,40.73170471,-73.9885025,28,29,47.15,2.5,2,5.5,3.5
47,1,26.35279846,-97.9733963,53,16,88.95,5,1,6.65,3.55
43,1,39.45429993,-84.22579956,37,13,74.65,2,1,5.9,4.45
36,1,47.60620117,-122.3320999,52,19,84.55,4.25,1,5.15,4.5
71,1,44.95970154,-85.19539642,51,23,79.05,4.75,2,5.8,4.75
71,1,45.08050537,-85.24569702,48,20,79.05,4.25,1.33,5.6,4.6
71,1,45.08050537,-85.24569702,46,20,76.85,4,1.67,5.9,4.5
46,1,38.11250305,-90.56739807,53,13,92.25,4,1,6.3,3.8
25,1,34.02560425,-118.4716034,32,18,63.65,2.25,1,6.35,5.05
30,1,36.03120422,-115.0738983,40,15,75.75,2.75,1.33,3.65,2.4
35,1,39.07899475,-86.61750031,46,22,74.65,3.5,1,5.65,3.95
28,1,40.73860168,-111.8591003,46,29,66.95,3.75,2.67,3.9,4.9
25,1,42.97770691,-85.71099854,24,17,55.95,1.25,1,4.47,3.35
58,1,40.86839294,-82.31490326,59,21,90.05,4.75,1.33,5.7,4.2
35,1,39.78509521,-86.16649628,56,24,83.45,4.5,2.33,5.45,3.9
32,1,39.1651001,-77.97589874,44,17,77.95,3.5,1,4.25,2.75
47,1,40.80769348,-81.97299957,38,20,68.05,3,1.67,5.9,3.15
47,1,40.80769348,-81.97299957,37,24,62.55,3,1.67,6,3
27,1,41.0848999,-74.38710022,46,28,68.05,4,1.67,4.7,5.35
25,1,44.63070679,-93.30339813,43,30,62.55,3,2,4.25,4.9
39,1,43.96209717,-92.52179718,41,15,76.85,2.75,1,4.25,4.15
33,1,47.10600281,-121.6029053,35,20,64.75,3,1,4.65,4.05
28,1,43.02859497,-89.51809692,45,17,79.05,3.25,1,5.9,3.75
66,1,40.88850403,-74.62310028,53,19,85.65,3.75,1,5.89,5.42
20,1,40.5953064,-74.61730194,43,23,70.25,3.75,1,4.2,3.3
52,1,34.94960022,-81.93209839,49,20,80.15,3.75,2,4.2,4.7
55,1,34.16659546,-118.2025986,38,23,64.75,2.25,1,4.7,4.3
37,1,38.58050537,-90.2743988,38,26,61.45,3,2,5.55,4.7
31,1,30.23120117,-97.71700287,47,16,82.35,3.5,1,5.3,4.63
33,1,40.47340393,-79.99030304,31,21,59.25,2.5,1,3.3,4.65
44,1,41.91149902,-83.46510315,46,16,81.25,4.25,1,4.2,4.25
27,1,33.96090698,-83.37789917,36,30,54.85,3,2,4.85,4.65
32,1,31.62860107,-97.09889984,49,36,62.55,3.75,3,6.16,5.26
23,1,46.62879944,-87.479599,31,28,51.55,3.5,3,4.55,4.55
22,1,32.25410461,-110.8785019,33,19,63.65,3,1.33,4.15,5.3
27,1,40.43449402,-79.8660965,16,16,48.25,1,1,5.3,4.55
47,1,35.18330383,-80.64230347,50,25,75.75,4.25,1.67,4.9,4.05
38,1,45.47320557,-94.41239929,52,21,82.35,4,1.67,5.5,3.75
63,1,37.97189331,-122.5023041,44,20,74.65,3.5,1,4.35,4.5
25,1,44.60519409,-75.59470367,39,19,70.25,2.5,1,5.45,4.35
22,1,38.4828949,-121.639801,36,35,49.35,3.5,2.33,4.6,4.9
44,1,40.52400208,-105.1396027,46,29,66.95,4,2.33,5.05,4
27,1,18.33859253,-65.99009705,37,40,44.95,2.5,3.67,4.1,4.5
26,1,-3.333297729,114.583313,37,18,69.15,2.75,1,5.8,4.5
47,1,29.20539856,-98.3553009,48,28,70.25,3.5,2.33,5.15,5.4
